Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,GrÃce-Hollogne Horion-Hozémont,4460,1,house,house,229500,isUnderOption,3,125,1,1,330,160,2,,10480554,as new,https://www.immoweb.be/en/classified/house/for-sale/gr%C3%83ce-hollogne%20horion-hoz%C3%A9mont/4460/10480554
,Ronse,9600,0,house,mansion,225000,,4,205,1,,,224,,,10455246,,https://www.immoweb.be/en/classified/mansion/for-sale/ronse/9600/10455246
,Lille,2275,,house,house,229000,,3,161,,,,76,2,,10584033,good,https://www.immoweb.be/en/classified/house/for-sale/lille/2275/10584033
,Arlon,6700,0,house,house,230000,isUnderOption,4,,1,1,500,698,3,,10629968,to renovate,https://www.immoweb.be/en/classified/house/for-sale/arlon/6700/10629968
,Amay,4540,1,house,house,235000,,3,110,,,,405,4,,10618113,,https://www.immoweb.be/en/classified/house/for-sale/amay/4540/10618113
,Huy,4500,1,house,house,235000,isUnderOption,4,170,1,,,157,2,,10607071,to be done up,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/10607071
,Avelgem,8580,1,house,house,237500,isUnderOption,3,150,1,1,440,0,3,,10571081,to be done up,https://www.immoweb.be/en/classified/house/for-sale/avelgem/8580/10571081
,ETHE,6760,1,house,house,235000,,3,150,,1,300,385,2,,10631112,just renovated,https://www.immoweb.be/en/classified/house/for-sale/ethe/6760/10631112
,Wandre,4020,1,house,house,239000,isUnderOption,2,65,1,,,243,3,,10629891,good,https://www.immoweb.be/en/classified/house/for-sale/wandre/4020/10629891
,Jupille-sur-meuse,4020,1,house,house,239000,,5,227,1,1,194,360,3,,10629887,to be done up,https://www.immoweb.be/en/classified/house/for-sale/jupille-sur-meuse/4020/10629887
,Anzegem,8570,0,house,house,235000,,5,307,,,,596,2,,10527700,to renovate,https://www.immoweb.be/en/classified/house/for-sale/anzegem/8570/10527700
