Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,Seraing,4100,1,house,house,149000,,2,105,1,1,25,105,2,,10668977,good,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/10668977
,Gent,9000,1,house,house,319000,,3,154,,1,8,55,2,,10667297,to be done up,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/10667297
,Braine-l'Alleud,1420,1,house,house,320000,,3,88,1,1,250,405,3,,10667819,good,https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud/1420/10667819
,Anderlecht,1070,1,house,exceptional property,960000,,6,400,1,1,290,1090,3,,10669507,as new,https://www.immoweb.be/en/classified/exceptional-property/for-sale/anderlecht/1070/10669507
,Waterloo,1410,1,house,villa,498000,,5,140,1,1,700,1132,4,,10666111,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/10666111
,Wavre,1300,1,house,villa,435000,isUnderOption,4,185,1,1,526,748,4,,10669505,good,https://www.immoweb.be/en/classified/villa/for-sale/wavre/1300/10669505
,Anderlecht,1070,1,house,house,399000,,4,170,1,1,140,210,2,,10669506,to be done up,https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/10669506
,Saint-Nicolas,4420,1,house,house,319000,,3,194,1,1,82,197,2,,10666853,as new,https://www.immoweb.be/en/classified/house/for-sale/saint-nicolas/4420/10666853
,Lasne,1380,0,house,villa,995000,,6,300,,,,14631,4,,10666139,to restore,https://www.immoweb.be/en/classified/villa/for-sale/lasne/1380/10666139
,Geraardsbergen,9500,1,house,house,240000,,3,125,,,,58,2,,10665484,just renovated,https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/10665484
,Oedelem,8730,1,house,villa,575000,,6,288,,1,475,969,4,,10663298,as new,https://www.immoweb.be/en/classified/villa/for-sale/oedelem/8730/10663298
,Bruxelles,1000,1,house,house,550000,,5,265,,,,110,2,,10664236,to be done up,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10664236
,Gent,9000,1,house,house,272000,,3,119,,,,55,2,,10660214,good,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/10660214
,Merendree,9850,1,house,house,435000,,4,165,1,1,110,196,3,,10669126,as new,https://www.immoweb.be/en/classified/house/for-sale/merendree/9850/10669126
,Russeignies,7750,1,house,house,275000,,5,172,1,1,210,818,4,,10660333,good,https://www.immoweb.be/en/classified/house/for-sale/russeignies/7750/10660333
,Ninove,9400,1,house,mansion,615000,,5,450,1,1,1100,1260,4,,10663833,good,https://www.immoweb.be/en/classified/mansion/for-sale/ninove/9400/10663833
,Lede,9340,1,house,house,219000,,3,170,1,1,450,564,3,,10660142,to be done up,https://www.immoweb.be/en/classified/house/for-sale/lede/9340/10660142
,Gavere,9890,1,apartment,apartment,265000,,1,76,1,,,,4,,10656492,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656492
,Anderlecht,1070,1,apartment,apartment,239000,,2,82,,,,,2,,10668949,as new,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10668949
,Deinze,9800,1,apartment,apartment,395000,,2,99,1,,,,4,,10665845,as new,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10665845
,Gavere,9890,1,apartment,apartment,269000,,1,76,1,,,,4,,10656488,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656488
,Gavere,9890,1,apartment,apartment,316000,,2,97,1,,,,4,,10656495,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656495
,Gent Sint-Denijs-Westrem,9051,1,apartment,apartment,325000,,2,91,1,,,,2,,10669125,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/gent%20sint-denijs-westrem/9051/10669125
,Blankenberge,8370,1,apartment,apartment,289000,,2,68,1,,,,,,10668605,good,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10668605
,Gavere,9890,1,apartment,apartment,328500,,2,97,1,,,,4,,10656491,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656491
,Gavere,9890,1,apartment,apartment,360000,,3,111,1,,,,4,,10656490,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656490
,Gavere,9890,1,apartment,apartment,369500,,3,126,1,,,,4,,10656489,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656489
,Gavere,9890,1,apartment,apartment,356000,,3,112,1,,,,4,,10656494,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656494
,Gavere,9890,1,apartment,apartment,366000,,2,126,1,,,,4,,10656493,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656493
,Embourg,4053,1,apartment,penthouse,399000,,3,145,1,,,,3,,10611828,good,https://www.immoweb.be/en/classified/penthouse/for-sale/embourg/4053/10611828
,Antwerp,2000,1,apartment,apartment,425000,,3,108,1,,,,2,,10668885,good,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10668885
,Gavere,9890,1,apartment,apartment,412500,,2,165,1,,,,4,,10656485,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656485
,Embourg,4053,1,apartment,apartment,399000,,3,145,1,,,,3,,10611827,good,https://www.immoweb.be/en/classified/apartment/for-sale/embourg/4053/10611827
,Gavere,9890,1,apartment,duplex,426000,,3,146,1,,,,4,,10656487,as new,https://www.immoweb.be/en/classified/duplex/for-sale/gavere/9890/10656487
,Deinze,9800,1,apartment,apartment,375000,,2,85,1,,,,4,,10665843,as new,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10665843
,Molenbeek-Saint-Jean,1080,1,apartment,apartment,129000,,1,35,1,,,,2,,10668584,good,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/10668584
,Deinze,9800,1,apartment,apartment,250000,,1,63,1,,,,4,,10665844,as new,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10665844
,Gavere,9890,1,apartment,duplex,429500,,3,148,1,,,,4,,10656486,as new,https://www.immoweb.be/en/classified/duplex/for-sale/gavere/9890/10656486
,Brussels City,1000,1,apartment,loft,1250000,,3,366,1,,,,4,,10588500,as new,https://www.immoweb.be/en/classified/loft/for-sale/brussels%20city/1000/10588500
,Dendermonde,9200,1,house,mixed use building,599000,,4,378,,,,571,3,,10659705,to be done up,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/dendermonde/9200/10659705
,Dendermonde,9200,1,house,house,599000,,4,378,,,,571,3,,10659704,to be done up,https://www.immoweb.be/en/classified/house/for-sale/dendermonde/9200/10659704
,Knokke-Heist,8300,1,house,house,1250000,,5,182,1,,,145,2,,10493036,good,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/10493036
,Libin,6890,0,house,house,299900,,3,124,1,1,257,320,3,,10657263,as new,https://www.immoweb.be/en/classified/house/for-sale/libin/6890/10657263
,Seraing,4100,1,house,house,199000,,4,125,1,1,28,229,2,,10658683,good,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/10658683
,Huy,4500,1,house,house,189000,,3,150,,1,2300,2450,2,,10658676,just renovated,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/10658676
,Watermael-Boitsfort,1170,1,house,house,1100000,,4,248,1,1,60,150,2,,10658482,as new,https://www.immoweb.be/en/classified/house/for-sale/watermael-boitsfort/1170/10658482
,Beersel,1650,1,house,house,495000,,3,161,1,,,303,3,,10668883,good,https://www.immoweb.be/en/classified/house/for-sale/beersel/1650/10668883
,Rixensart,1330,1,house,house,399000,,3,173,1,1,333,428,3,,10657873,to renovate,https://www.immoweb.be/en/classified/house/for-sale/rixensart/1330/10657873
,Dendermonde,9200,1,house,mixed use building,599000,,4,378,,,,571,3,,10659537,to be done up,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/dendermonde/9200/10659537
,Rixensart Genval,1332,1,house,house,485000,,3,148,,1,88,232,3,,10657583,good,https://www.immoweb.be/en/classified/house/for-sale/rixensart%20genval/1332/10657583
,Dendermonde,9200,1,house,house,599000,,4,378,,,,571,3,,10659534,to be done up,https://www.immoweb.be/en/classified/house/for-sale/dendermonde/9200/10659534
,Leuven,3010,1,house,house,379000,,3,111,,1,73,131,2,,10658498,good,https://www.immoweb.be/en/classified/house/for-sale/leuven/3010/10658498
,Waterloo,1410,1,house,house,549000,,4,207,1,1,230,464,3,,10657514,good,https://www.immoweb.be/en/classified/house/for-sale/waterloo/1410/10657514
,Braine-l'Alleud,1420,1,house,house,549000,,4,207,1,1,230,464,3,,10657515,good,https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud/1420/10657515
,Bouge,5004,1,house,house,210000,,2,83,,1,85,166,3,,10666295,to be done up,https://www.immoweb.be/en/classified/house/for-sale/bouge/5004/10666295
,Mettet,5640,1,house,house,250000,,4,135,1,1,1400,1651,4,,10666296,to be done up,https://www.immoweb.be/en/classified/house/for-sale/mettet/5640/10666296
,FRAIRE,5650,1,house,house,250000,,4,135,1,1,1400,1651,4,,10666292,to be done up,https://www.immoweb.be/en/classified/house/for-sale/fraire/5650/10666292
,Gooik,1755,1,house,house,329000,,2,167,,,,402,4,,10666836,to be done up,https://www.immoweb.be/en/classified/house/for-sale/gooik/1755/10666836
,Etterbeek,1040,1,house,house,780000,,5,233,1,1,33,100,2,,10667169,to be done up,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/10667169
,Braine-l'Alleud,1420,1,house,house,695000,,6,300,,1,900,1100,4,,10667814,as new,https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud/1420/10667814
,ELSEGEM,9790,1,house,house,395000,,4,192,,,,620,4,,10668184,just renovated,https://www.immoweb.be/en/classified/house/for-sale/elsegem/9790/10668184
,Kampenhout,1910,1,house,exceptional property,795000,,4,445,1,1,1172,1663,3,,10666826,good,https://www.immoweb.be/en/classified/exceptional-property/for-sale/kampenhout/1910/10666826
,Herent,3020,1,house,house,370000,,3,181,,1,151,265,3,,10667243,to be done up,https://www.immoweb.be/en/classified/house/for-sale/herent/3020/10667243
,Crisnée,4367,0,house,house,138000,,2,120,1,,,90,3,,10321179,to renovate,https://www.immoweb.be/en/classified/house/for-sale/crisn%C3%A9e/4367/10321179
,Schaerbeek,1030,1,apartment,apartment,345000,,2,95,1,,,,2,,10666536,good,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10666536
,Schaerbeek,1030,1,apartment,apartment,345000,,1,95,1,,,,2,,10666535,good,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10666535
,Drongen,9031,1,apartment,duplex,349000,,2,118,1,,,,3,,10666607,good,https://www.immoweb.be/en/classified/duplex/for-sale/drongen/9031/10666607
,Bruxelles,1000,1,apartment,apartment,365000,,5,134,,,,,2,,10666879,good,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10666879
,Seraing,4100,1,apartment,apartment,160000,,2,65,1,,,,2,,10663786,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/seraing/4100/10663786
,Watermael-Boitsfort,1170,1,apartment,duplex,620000,,2,160,1,,,,2,,10666278,as new,https://www.immoweb.be/en/classified/duplex/for-sale/watermael-boitsfort/1170/10666278
,Molenbeek-Saint-Jean,1080,1,apartment,flat studio,180000,,0,43,1,,,,2,,10665158,as new,https://www.immoweb.be/en/classified/flat-studio/for-sale/molenbeek-saint-jean/1080/10665158
,Tubize,1480,1,apartment,apartment,179000,,1,61,1,,,,2,,10663652,good,https://www.immoweb.be/en/classified/apartment/for-sale/tubize/1480/10663652
,Dilbeek,1700,1,apartment,apartment,265000,,2,105,1,,,,2,,10664225,good,https://www.immoweb.be/en/classified/apartment/for-sale/dilbeek/1700/10664225
,VICHTE,8570,1,apartment,apartment,362500,,4,345,,,,,2,,10663620,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/vichte/8570/10663620
,Ixelles,1050,1,house,house,995000,,5,235,1,,,81,2,,10657189,good,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/10657189
,Beersel,1652,1,house,villa,529000,,3,146,1,1,310,530,4,,10656932,good,https://www.immoweb.be/en/classified/villa/for-sale/beersel/1652/10656932
,Rhode-Saint-Genese,1640,1,house,house,639000,,3,205,1,1,150,476,3,1,10656226,as new,https://www.immoweb.be/en/classified/house/for-sale/rhode-saint-genese/1640/10656226
,Braine-l'Alleud,1420,1,house,house,595000,,5,203,1,1,200,366,3,,10663932,just renovated,https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud/1420/10663932
,COUTISSE,5300,1,house,house,295000,,3,150,1,,,1192,4,,10664407,good,https://www.immoweb.be/en/classified/house/for-sale/coutisse/5300/10664407
,Wezembeek-Oppem,1970,1,house,villa,699000,,3,200,1,,,669,4,,10663875,good,https://www.immoweb.be/en/classified/villa/for-sale/wezembeek-oppem/1970/10663875
,Woluwe-Saint-Pierre,1150,1,house,house,650000,,4,164,1,1,63,154,2,,10663705,good,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10663705
,Saint-Gilles,1060,1,house,apartment block,650000,,6,225,,,,78,2,,10663610,as new,https://www.immoweb.be/en/classified/apartment-block/for-sale/saint-gilles/1060/10663610
,Tervuren,3080,1,house,villa,699000,,3,200,1,,,669,4,,10663876,good,https://www.immoweb.be/en/classified/villa/for-sale/tervuren/3080/10663876
,Kraainem,1950,1,house,house,849000,,5,250,1,1,728,818,3,,10669411,as new,https://www.immoweb.be/en/classified/house/for-sale/kraainem/1950/10669411
,Schaerbeek,1030,1,house,house,780000,,5,233,1,1,33,100,2,,10664289,to be done up,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/10664289
,Liège,4020,1,house,town house,199000,,2,113,,,,262,2,,10655029,good,https://www.immoweb.be/en/classified/town-house/for-sale/li%C3%A8ge/4020/10655029
,Donceel,4357,1,house,house,400000,,4,330,1,1,850,1570,4,,10563785,good,https://www.immoweb.be/en/classified/house/for-sale/donceel/4357/10563785
,ISNES,5032,1,house,house,450000,,4,157,,1,600,924,4,,10655439,good,https://www.immoweb.be/en/classified/house/for-sale/isnes/5032/10655439
,Oupeye Heure-le-Romain,4682,1,house,house,499000,,6,235,1,1,1352,1713,4,,10654294,as new,https://www.immoweb.be/en/classified/house/for-sale/oupeye%20heure-le-romain/4682/10654294
,Rixensart,1330,1,house,house,585000,,3,390,1,1,1400,1685,4,,10660391,to renovate,https://www.immoweb.be/en/classified/house/for-sale/rixensart/1330/10660391
,Vielsalm,6690,,house,villa,285000,,4,174,,1,946,1112,4,,10661486,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/vielsalm/6690/10661486
,Waregem,8790,1,house,villa,695000,,3,295,1,,,1500,4,,10661696,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/waregem/8790/10661696
,Braine-l'Alleud Ophain-Bois-Seigneur-Isaac,1421,1,house,house,595000,,5,203,1,1,200,366,3,,10662482,just renovated,https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud%20ophain-bois-seigneur-isaac/1421/10662482
,Wavre Limal,1300,1,house,house,585000,,3,390,1,1,1400,1685,4,,10660390,to renovate,https://www.immoweb.be/en/classified/house/for-sale/wavre%20limal/1300/10660390
,Bruxelles,1000,1,house,mansion,1950000,,6,497,1,1,40,242,2,,10653822,good,https://www.immoweb.be/en/classified/mansion/for-sale/bruxelles/1000/10653822
,Embourg,4053,1,house,house,279000,,3,132,1,1,253,346,3,,10662200,good,https://www.immoweb.be/en/classified/house/for-sale/embourg/4053/10662200
,Bassevelde,9968,1,house,country cottage,695000,,4,296,,1,350,23417,4,,10659738,to renovate,https://www.immoweb.be/en/classified/country-cottage/for-sale/bassevelde/9968/10659738
,Woluwe-Saint-Pierre,1150,,house,house,795000,,4,282,1,1,61,160,2,,10659995,as new,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10659995
,Uccle,1180,1,apartment,apartment,380000,,2,85,1,,,,3,,10663906,as new,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10663906
,Antwerp,2000,1,apartment,apartment,695000,,2,117,1,,,,2,,10664791,as new,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10664791
,Brussels City,1000,1,apartment,apartment,745000,,3,190,1,,,,2,,10570763,as new,https://www.immoweb.be/en/classified/apartment/for-sale/brussels%20city/1000/10570763
,Schaerbeek,1030,1,apartment,apartment,425000,,3,137,1,,,,3,,10660108,as new,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10660108
,Woluwe-Saint-Lambert,1200,1,apartment,apartment,495000,,4,160,1,,,,,,10659994,good,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10659994
,Uccle,1180,1,house,house,1625000,,6,326,1,1,250,620,3,,10661837,just renovated,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10661837
,Molenbeek-Saint-Jean,1080,1,house,apartment block,1000000,,8,422,,,,130,2,,10662611,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/molenbeek-saint-jean/1080/10662611
,Ixelles,1050,1,apartment,apartment,1839000,,3,203,1,,,,2,,10648643,as new,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10648643
,Herent,3020,1,apartment,apartment,398000,,2,90,1,,,,4,,10660441,as new,https://www.immoweb.be/en/classified/apartment/for-sale/herent/3020/10660441
,Verviers,4800,0,house,apartment block,299000,,5,297,1,,,230,3,,10666854,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/verviers/4800/10666854
,Eeklo,9900,1,house,house,290000,,4,195,1,1,380,689,3,,10666573,to renovate,https://www.immoweb.be/en/classified/house/for-sale/eeklo/9900/10666573
,Liege,4000,0,house,town house,189000,,2,110,1,1,100,210,2,,10651068,to be done up,https://www.immoweb.be/en/classified/town-house/for-sale/liege/4000/10651068
,Bornem,2880,1,house,house,155000,,3,100,,1,150,283,3,,10607047,to renovate,https://www.immoweb.be/en/classified/house/for-sale/bornem/2880/10607047
,Denderleeuw,9470,0,house,house,389000,,4,218,1,1,200,320,2,,10660144,as new,https://www.immoweb.be/en/classified/house/for-sale/denderleeuw/9470/10660144
,Liege,4000,1,house,house,149000,,4,129,1,1,28,75,2,,10651408,to renovate,https://www.immoweb.be/en/classified/house/for-sale/liege/4000/10651408
,Denderleeuw,9470,1,house,house,389000,,4,218,1,1,200,330,2,,10660145,as new,https://www.immoweb.be/en/classified/house/for-sale/denderleeuw/9470/10660145
,Ronse,9600,1,house,house,220000,,4,171,,1,33,182,2,,10650938,good,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10650938
,Denderleeuw,9470,1,house,house,446000,,4,228,1,1,300,477,3,,10660143,as new,https://www.immoweb.be/en/classified/house/for-sale/denderleeuw/9470/10660143
,Welkenraedt,4841,0,house,house,235000,,5,230,,1,339,432,3,,10651409,good,https://www.immoweb.be/en/classified/house/for-sale/welkenraedt/4841/10651409
,Gooik,1755,1,house,house,369000,,3,180,1,,,1150,4,,10417975,to be done up,https://www.immoweb.be/en/classified/house/for-sale/gooik/1755/10417975
,Chaumont-Gistoux,1325,1,house,villa,385000,,3,125,1,1,900,1043,4,,10650920,good,https://www.immoweb.be/en/classified/villa/for-sale/chaumont-gistoux/1325/10650920
,Aywaille,4920,1,house,villa,399000,isUnderOption,3,148,1,1,750,1278,4,1,10651067,good,https://www.immoweb.be/en/classified/villa/for-sale/aywaille/4920/10651067
,Machelen (vlaams-brabant),1830,1,house,house,495000,,4,202,1,1,824,955,3,,10652807,to renovate,https://www.immoweb.be/en/classified/house/for-sale/machelen%20%28vlaams-brabant%29/1830/10652807
,Woluwe-Saint-Pierre,1150,1,house,house,1030000,isUnderOption,4,187,1,1,311,388,3,,10653112,as new,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10653112
,Londerzeel,1840,1,house,house,425000,,3,190,1,1,450,814,4,,10658240,good,https://www.immoweb.be/en/classified/house/for-sale/londerzeel/1840/10658240
,BERCHEUX,6642,1,house,house,450000,,4,210,,,,1497,4,,10658476,as new,https://www.immoweb.be/en/classified/house/for-sale/bercheux/6642/10658476
,Oud-Heverlee,3050,1,house,mixed use building,425000,,3,278,1,1,300,457,3,,10651623,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/oud-heverlee/3050/10651623
,Mechelen,2800,,house,house,535000,,3,209,1,,,64,3,,10658229,to renovate,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/10658229
,Woluwe-Saint-Pierre,1150,1,house,house,525000,,3,106,1,,,112,2,,10658695,as new,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10658695
,Oud-Heverlee (Blanden),3052,1,house,villa,645000,,4,330,1,1,1350,1674,4,,10650829,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/oud-heverlee%20%28blanden%29/3052/10650829
,Lievegem,9930,1,house,house,495000,,4,194,1,1,630,975,3,,10651256,good,https://www.immoweb.be/en/classified/house/for-sale/lievegem/9930/10651256
,Marche-en-Famenne,6900,1,apartment,duplex,198000,,3,124,1,,,,3,,10658175,as new,https://www.immoweb.be/en/classified/duplex/for-sale/marche-en-famenne/6900/10658175
,Rixensart,1332,1,house,villa,480000,,4,191,1,1,696,696,4,,10657786,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/rixensart/1332/10657786
,Blankenberge,8370,1,apartment,apartment,279000,,2,70,1,,,,,,10658716,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10658716
,Etterbeek,1040,1,house,apartment block,575000,,4,145,,,,50,3,,10668958,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/etterbeek/1040/10668958
,Etterbeek,1040,1,apartment,apartment,645000,,4,182,1,,,,2,,10658199,good,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/10658199
,Etterbeek,1040,1,apartment,apartment,715000,,2,146,1,,,,2,,10644855,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/10644855
,Uccle,1180,1,apartment,apartment,380000,,2,93,1,,,,2,,10598748,as new,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10598748
,Uccle,1180,1,apartment,apartment,460000,,2,104,1,,,,2,,10657768,good,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10657768
,Zottegem Strijpen,9620,1,apartment,duplex,510000,,2,175,1,1,450,,2,,10669041,as new,https://www.immoweb.be/en/classified/duplex/for-sale/zottegem%20strijpen/9620/10669041
,Woluwe-Saint-Lambert,1200,1,apartment,apartment,240000,,2,74,1,,,,,,10666348,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10666348
,Jette,1090,1,apartment,apartment,249000,,2,100,1,,,,2,,10668189,good,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/10668189
,Bruxelles,1000,1,apartment,apartment,245000,,2,79,,,,,2,,10666878,good,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10666878
,Bruxelles,1040,,apartment,apartment,650000,,3,216,,,,,3,,10669000,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1040/10669000
,Les Bons Villers Villers-Perwin,6210,1,apartment,service flat,170000,,1,45,1,,,,,1,10666397,as new,https://www.immoweb.be/en/classified/service-flat/for-sale/les%20bons%20villers%20villers-perwin/6210/10666397
,Woluwe-Saint-Pierre,1150,1,apartment,apartment,330000,isUnderOption,2,83,1,,,,,,10666430,as new,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/10666430
,Anderlecht,1070,1,apartment,penthouse,349000,,2,165,,,,,2,,10667427,good,https://www.immoweb.be/en/classified/penthouse/for-sale/anderlecht/1070/10667427
,Vlezenbeek,1602,1,apartment,apartment,325000,,2,95,1,,,,2,,10667436,good,https://www.immoweb.be/en/classified/apartment/for-sale/vlezenbeek/1602/10667436
,Uccle,1180,1,apartment,apartment,280000,,2,83,1,,,,2,,10668365,good,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10668365
,Molenbeek-Saint-Jean,1080,1,apartment,apartment,275000,,2,91,1,,,,4,,10666516,as new,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/10666516
,Dilbeek,1700,1,apartment,apartment,285000,,2,105,1,1,60,,2,,10666507,good,https://www.immoweb.be/en/classified/apartment/for-sale/dilbeek/1700/10666507
,Uccle,1180,1,apartment,penthouse,1340000,,3,179,1,,,,2,,10655004,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/10655004
,Deinze,9800,1,apartment,apartment,625000,,3,246,1,,,,4,,10666575,good,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10666575
,Gent,9000,1,apartment,apartment,359000,,2,80,1,,,,2,,10656608,good,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10656608
,Remicourt,4350,1,house,house,280000,,4,205,1,1,200,456,3,,10648897,good,https://www.immoweb.be/en/classified/house/for-sale/remicourt/4350/10648897
,Ronse,9600,1,house,house,179000,,3,117,,1,17,80,2,,10645838,just renovated,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10645838
,Kortrijk,8500,1,house,house,385000,,2,150,1,,,278,2,,10668128,as new,https://www.immoweb.be/en/classified/house/for-sale/kortrijk/8500/10668128
,Waterloo,1410,1,house,villa,650000,,4,195,1,,,882,4,,10669730,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/10669730
,Dilbeek,1702,1,house,house,349000,,2,215,1,,,244,3,,10648597,to be done up,https://www.immoweb.be/en/classified/house/for-sale/dilbeek/1702/10648597
,Bruxelles,1050,1,apartment,apartment,360000,,1,82,1,,,,2,,10656771,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1050/10656771
,Erpe-Mere,9420,1,house,house,298000,,3,190,1,1,350,600,4,,10662191,to be done up,https://www.immoweb.be/en/classified/house/for-sale/erpe-mere/9420/10662191
,Nivelles,1400,1,house,house,478000,,3,221,1,,,952,4,,10649663,to renovate,https://www.immoweb.be/en/classified/house/for-sale/nivelles/1400/10649663
,Watermael-Boitsfort,1170,1,house,house,1295000,,4,249,1,1,165,245,2,,10648645,as new,https://www.immoweb.be/en/classified/house/for-sale/watermael-boitsfort/1170/10648645
,Halle,1500,1,house,house,845000,,4,253,1,1,550,1170,3,,10667482,just renovated,https://www.immoweb.be/en/classified/house/for-sale/halle/1500/10667482
,Ronse,9600,1,house,exceptional property,525000,,4,196,1,1,5260,195,4,,10648910,good,https://www.immoweb.be/en/classified/exceptional-property/for-sale/ronse/9600/10648910
,Nivelles,1400,1,house,house,368000,,3,221,1,,,489,4,,10649662,to renovate,https://www.immoweb.be/en/classified/house/for-sale/nivelles/1400/10649662
,Anderlecht,1070,1,house,house,380000,,1,180,1,1,85,227,2,,10547250,to be done up,https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/10547250
,Vielsalm,6690,1,house,house,180000,,2,117,1,1,409,504,3,,10529382,to be done up,https://www.immoweb.be/en/classified/house/for-sale/vielsalm/6690/10529382
,Dilbeek,1702,1,house,town house,369000,,3,157,1,,,227,3,,10531194,good,https://www.immoweb.be/en/classified/town-house/for-sale/dilbeek/1702/10531194
,Dilbeek,1700,1,house,exceptional property,1495000,,4,381,1,,,14528,4,1,10645551,as new,https://www.immoweb.be/en/classified/exceptional-property/for-sale/dilbeek/1700/10645551
,Woluwe-Saint-Lambert,1200,1,house,house,845000,,4,239,1,1,163,280,3,,10645588,as new,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/10645588
